4su_labelling,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Method,Molecule,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
60min 4sU,SRR8723860,RNA-Seq,302,826601784,PRJNA526921,SAMN11120123,333008641,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517066,GSM3669624,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669624,K562,SRP188374
60min 4sU,SRR8723861,RNA-Seq,302,630809144,PRJNA526921,SAMN11120122,250082713,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517067,GSM3669625,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669625,K562,SRP188374
no 4sU labelling,SRR8723862,RNA-Seq,302,802595804,PRJNA526921,SAMN11120121,323100871,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517068,GSM3669626,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669626,K562,SRP188374
60min 4sU,SRR8723863,RNA-Seq,302,725421214,PRJNA526921,SAMN11120120,290885933,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517069,GSM3669627,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669627,K562,SRP188374
60min 4sU,SRR8723864,RNA-Seq,302,767557764,PRJNA526921,SAMN11120411,306399816,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5517070,GSM3669628,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669628,K562,SRP188374
60min 4sU,SRR8723865,RNA-Seq,302,597105642,PRJNA526921,SAMN11120410,236949280,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517071,GSM3669629,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669629,K562,SRP188374
no 4sU labelling,SRR8723866,RNA-Seq,302,733812586,PRJNA526921,SAMN11120409,293424417,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517072,GSM3669630,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669630,K562,SRP188374
no 4sU labelling,SRR8723867,RNA-Seq,302,801855904,PRJNA526921,SAMN11120408,320217289,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517073,GSM3669631,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669631,K562,SRP188374
60min 4sU,SRR8723868,RNA-Seq,302,810790574,PRJNA526921,SAMN11120407,323473321,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517074,GSM3669632,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669632,K562,SRP188374
60min 4sU,SRR8723869,RNA-Seq,302,596093942,PRJNA526921,SAMN11120406,262003134,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517075,GSM3669633,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669633,K562,SRP188374
60min 4sU,SRR8723870,RNA-Seq,302,650722722,PRJNA526921,SAMN11120405,260994692,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5517076,GSM3669634,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669634,K562,SRP188374
60min 4sU,SRR8723871,RNA-Seq,302,823870798,PRJNA526921,SAMN11120404,328341272,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517077,GSM3669635,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669635,K562,SRP188374
60min 4sU,SRR8723872,RNA-Seq,302,1076630,PRJNA526921,SAMN11120403,529903,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517078,GSM3669636,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669636,K562,SRP188374
60min 4sU,SRR8723873,RNA-Seq,302,498482710,PRJNA526921,SAMN11120541,197596097,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517079,GSM3669637,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669637,K562,SRP188374
no 4sU labelling,SRR8723874,RNA-Seq,302,716136526,PRJNA526921,SAMN11120540,287124800,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517080,GSM3669638,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669638,K562,SRP188374
60min 4sU,SRR8723875,RNA-Seq,302,694954850,PRJNA526921,SAMN11120539,277563351,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517081,GSM3669639,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669639,K562,SRP188374
60min 4sU,SRR8723876,RNA-Seq,302,880830414,PRJNA526921,SAMN11120538,352005486,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517082,GSM3669640,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669640,K562,SRP188374
60min 4sU,SRR8723877,RNA-Seq,302,385889862,PRJNA526921,SAMN11120537,151448877,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517083,GSM3669641,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669641,K562,SRP188374
no 4sU labelling,SRR8723878,RNA-Seq,302,641467328,PRJNA526921,SAMN11120536,256182016,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517084,GSM3669642,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669642,K562,SRP188374
no 4sU labelling,SRR8723879,RNA-Seq,302,721292874,PRJNA526921,SAMN11120535,287884505,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517085,GSM3669643,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669643,K562,SRP188374
60min 4sU,SRR8723880,RNA-Seq,302,298659276,PRJNA526921,SAMN11120534,119109595,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517086,GSM3669644,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669644,K562,SRP188374
60min 4sU,SRR8723881,RNA-Seq,302,621654920,PRJNA526921,SAMN11120533,247985159,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517087,GSM3669645,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669645,K562,SRP188374
60min 4sU,SRR8723882,RNA-Seq,302,806974804,PRJNA526921,SAMN11120532,323804779,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517088,GSM3669646,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669646,K562,SRP188374
60min 4sU,SRR8723883,RNA-Seq,302,730859932,PRJNA526921,SAMN11120531,291317101,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517089,GSM3669647,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669647,K562,SRP188374
60min 4sU,SRR8723884,RNA-Seq,302,760052762,PRJNA526921,SAMN11120530,304804263,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517090,GSM3669648,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669648,K562,SRP188374
60min 4sU,SRR8723885,RNA-Seq,302,890865270,PRJNA526921,SAMN11120529,357968081,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5517091,GSM3669649,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669649,K562,SRP188374
no 4sU labelling,SRR8723886,RNA-Seq,302,644138820,PRJNA526921,SAMN11120528,260021470,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517092,GSM3669650,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669650,K562,SRP188374
60min 4sU,SRR8723887,RNA-Seq,302,560733064,PRJNA526921,SAMN11120527,225486402,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517093,GSM3669651,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669651,K562,SRP188374
60min 4sU,SRR8723888,RNA-Seq,302,525601404,PRJNA526921,SAMN11120526,210258161,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517094,GSM3669652,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669652,K562,SRP188374
60min 4sU,SRR8723889,RNA-Seq,302,289448578,PRJNA526921,SAMN11120525,116622344,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517095,GSM3669653,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669653,K562,SRP188374
no 4sU labelling,SRR8723890,RNA-Seq,302,729664314,PRJNA526921,SAMN11120383,292090009,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517096,GSM3669654,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669654,K562,SRP188374
no 4sU labelling,SRR8723891,RNA-Seq,302,614691102,PRJNA526921,SAMN11120382,247115177,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517097,GSM3669655,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669655,K562,SRP188374
60min 4sU,SRR8723892,RNA-Seq,302,780616848,PRJNA526921,SAMN11120381,312382450,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517098,GSM3669656,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669656,K562,SRP188374
60min 4sU,SRR8723893,RNA-Seq,302,708030242,PRJNA526921,SAMN11120380,293962964,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517099,GSM3669657,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669657,K562,SRP188374
60min 4sU,SRR8723894,RNA-Seq,302,552980120,PRJNA526921,SAMN11120524,222874027,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517100,GSM3669658,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669658,K562,SRP188374
60min 4sU,SRR8723895,RNA-Seq,302,705165772,PRJNA526921,SAMN11120523,284941422,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517101,GSM3669659,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669659,K562,SRP188374
60min 4sU,SRR8723896,RNA-Seq,302,699802856,PRJNA526921,SAMN11120522,281771182,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517102,GSM3669660,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669660,K562,SRP188374
60min 4sU,SRR8723897,RNA-Seq,302,629351088,PRJNA526921,SAMN11120521,253065844,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517103,GSM3669661,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669661,K562,SRP188374
no 4sU labelling,SRR8723898,RNA-Seq,302,206422134,PRJNA526921,SAMN11120379,82705368,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517104,GSM3669662,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669662,K562,SRP188374
60min 4sU,SRR8723899,RNA-Seq,302,871270,PRJNA526921,SAMN11120378,440196,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517105,GSM3669663,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669663,K562,SRP188374
60min 4sU,SRR8723900,RNA-Seq,302,519106592,PRJNA526921,SAMN11120377,206997177,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5517106,GSM3669664,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669664,K562,SRP188374
60min 4sU,SRR8723901,RNA-Seq,302,514203018,PRJNA526921,SAMN11120376,207487998,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517107,GSM3669665,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669665,K562,SRP188374
no 4sU labelling,SRR8723902,RNA-Seq,302,724191168,PRJNA526921,SAMN11120433,290751142,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517108,GSM3669666,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669666,K562,SRP188374
no 4sU labelling,SRR8723903,RNA-Seq,302,790487718,PRJNA526921,SAMN11120432,319405021,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517109,GSM3669667,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669667,K562,SRP188374
60min 4sU,SRR8723904,RNA-Seq,302,746932674,PRJNA526921,SAMN11120431,298977955,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517110,GSM3669668,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669668,K562,SRP188374
60min 4sU,SRR8723905,RNA-Seq,302,420015560,PRJNA526921,SAMN11120430,175967144,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5517111,GSM3669669,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669669,K562,SRP188374
60min 4sU,SRR8723906,RNA-Seq,302,323504816,PRJNA526921,SAMN11120429,130462886,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517112,GSM3669670,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669670,K562,SRP188374
60min 4sU,SRR8723907,RNA-Seq,302,188997036,PRJNA526921,SAMN11120428,76334853,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517113,GSM3669671,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669671,K562,SRP188374
60min 4sU,SRR8723908,RNA-Seq,302,594663368,PRJNA526921,SAMN11120427,238719726,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517115,GSM3669672,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669672,K562,SRP188374
60min 4sU,SRR8723909,RNA-Seq,302,430176048,PRJNA526921,SAMN11120426,172372474,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517116,GSM3669673,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669673,K562,SRP188374
no 4sU labelling,SRR8723910,RNA-Seq,302,705806314,PRJNA526921,SAMN11120425,282706955,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5517117,GSM3669674,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669674,K562,SRP188374
60min 4sU,SRR8723911,RNA-Seq,302,930080272,PRJNA526921,SAMN11120424,371866283,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517118,GSM3669675,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669675,K562,SRP188374
60min 4sU,SRR8723912,RNA-Seq,302,898855888,PRJNA526921,SAMN11120423,358664002,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517119,GSM3669676,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669676,K562,SRP188374
60min 4sU,SRR8723913,RNA-Seq,302,555378,PRJNA526921,SAMN11120422,305682,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5517120,GSM3669677,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669677,K562,SRP188374
no 4sU labelling,SRR8723914,RNA-Seq,302,875943148,PRJNA526921,SAMN11120421,350072922,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517121,GSM3669678,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669678,K562,SRP188374
no 4sU labelling,SRR8723915,RNA-Seq,302,739736920,PRJNA526921,SAMN11120420,294679507,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517122,GSM3669679,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669679,K562,SRP188374
60min 4sU,SRR8723916,RNA-Seq,302,797252518,PRJNA526921,SAMN11120419,318426731,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517123,GSM3669680,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669680,K562,SRP188374
